# StandardizedVariants-15.0.0.txt
# Date: 2022-08-16, 19:08:00 GMT [KW]
# © 2022 Unicode®, Inc.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Specification of the variation sequences that are defined in the
# Unicode Standard.
#
# This file is a normative contributory data file in the
# Unicode Character Database.
#
# Standardized variation sequences are defined in this file.
#
# Ideographic variation sequences are defined according to the registration
# process specified in UTS #37, and are listed in the Ideographic
# Variation Database.
#
# Emoji variation sequences are defined in the file
# emoji-variation-sequences.txt, documented in UTS #51, Unicode Emoji.
#
# Only those three types of variation sequences
# are sanctioned for use by conformant implementations.
# In all other cases, use of a variation selector character does
# not change the visual appearance of the preceding base character
# from what it would have had in the absence of the variation selector.
#
# For more information on standardized variation sequences,
# see Section 23.4, Variation Selectors,
# in The Unicode Standard, Version 15.0.
#
# For more information on the Ideographic Variation Database,
# see https://www.unicode.org/ivd/
#
# For more information on emoji variation sequences,
# see https://www.unicode.org/reports/tr51/
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Mathematical

0030 FE00; short diagonal stroke form; # DIGIT ZERO
4AB2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9FC;
4B33 FE00; CJK COMPATIBILITY IDEOGRAPH-2FA03;
4BCE FE00; CJK COMPATIBILITY IDEOGRAPH-2FA08;
4CCE FE00; CJK COMPATIBILITY IDEOGRAPH-2FA0D;
4CED FE00; CJK COMPATIBILITY IDEOGRAPH-2FA0E;
4CF8 FE00; CJK COMPATIBILITY IDEOGRAPH-2FA11;
4D56 FE00; CJK COMPATIBILITY IDEOGRAPH-2FA16;
4E0D FE00; CJK COMPATIBILITY IDEOGRAPH-F967;
4E26 FE00; CJK COMPATIBILITY IDEOGRAPH-FA70;
4E32 FE00; CJK COMPATIBILITY IDEOGRAPH-F905;
4E38 FE00; CJK COMPATIBILITY IDEOGRAPH-2F801;
4E39 FE00; CJK COMPATIBILITY IDEOGRAPH-F95E;
4E3D FE00; CJK COMPATIBILITY IDEOGRAPH-2F800;
4E41 FE00; CJK COMPATIBILITY IDEOGRAPH-2F802;
4E82 FE00; CJK COMPATIBILITY IDEOGRAPH-F91B;
4E86 FE00; CJK COMPATIBILITY IDEOGRAPH-F9BA;
4EAE FE00; CJK COMPATIBILITY IDEOGRAPH-F977;
4EC0 FE00; CJK COMPATIBILITY IDEOGRAPH-F9FD;
4ECC FE00; CJK COMPATIBILITY IDEOGRAPH-2F819;
4EE4 FE00; CJK COMPATIBILITY IDEOGRAPH-F9A8;
4F60 FE00; CJK COMPATIBILITY IDEOGRAPH-2F804;
4F80 FE00; CJK COMPATIBILITY IDEOGRAPH-FA73;
4F86 FE00; CJK COMPATIBILITY IDEOGRAPH-F92D;
4F8B FE00; CJK COMPATIBILITY IDEOGRAPH-F9B5;
4FAE FE00; CJK COMPATIBILITY IDEOGRAPH-FA30;
4FAE FE01; CJK COMPATIBILITY IDEOGRAPH-2F805;
4FBB FE00; CJK COMPATIBILITY IDEOGRAPH-2F806;
4FBF FE00; CJK COMPATIBILITY IDEOGRAPH-F965;
5002 FE00; CJK COMPATIBILITY IDEOGRAPH-2F807;
502B FE00; CJK COMPATIBILITY IDEOGRAPH-F9D4;
507A FE00; CJK COMPATIBILITY IDEOGRAPH-2F808;
5099 FE00; CJK COMPATIBILITY IDEOGRAPH-2F809;
50CF FE00; CJK COMPATIBILITY IDEOGRAPH-2F80B;
50DA FE00; CJK COMPATIBILITY IDEOGRAPH-F9BB;
50E7 FE00; CJK COMPATIBILITY IDEOGRAPH-FA31;
50E7 FE01; CJK COMPATIBILITY IDEOGRAPH-2F80A;
5140 FE00; CJK COMPATIBILITY IDEOGRAPH-FA0C;
5145 FE00; CJK COMPATIBILITY IDEOGRAPH-FA74;
514D FE00; CJK COMPATIBILITY IDEOGRAPH-FA32;
514D FE01; CJK COMPATIBILITY IDEOGRAPH-2F80E;
5154 FE00; CJK COMPATIBILITY IDEOGRAPH-2F80F;
5164 FE00; CJK COMPATIBILITY IDEOGRAPH-2F810;
5167 FE00; CJK COMPATIBILITY IDEOGRAPH-2F814;
5168 FE00; CJK COMPATIBILITY IDEOGRAPH-FA72;
5169 FE00; CJK COMPATIBILITY IDEOGRAPH-F978;
516D FE00; CJK COMPATIBILITY IDEOGRAPH-F9D1;
5177 FE00; CJK COMPATIBILITY IDEOGRAPH-2F811;
5180 FE00; CJK COMPATIBILITY IDEOGRAPH-FA75;
518D FE00; CJK COMPATIBILITY IDEOGRAPH-2F815;
5192 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D2;
5195 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D3;
5197 FE00; CJK COMPATIBILITY IDEOGRAPH-2F817;
51A4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F818;
51AC FE00; CJK COMPATIBILITY IDEOGRAPH-2F81A;
51B5 FE00; CJK COMPATIBILITY IDEOGRAPH-FA71;
51B5 FE01; CJK COMPATIBILITY IDEOGRAPH-2F81B;
51B7 FE00; CJK COMPATIBILITY IDEOGRAPH-F92E;
51C9 FE00; CJK COMPATIBILITY IDEOGRAPH-F979;
51CC FE00; CJK COMPATIBILITY IDEOGRAPH-F955;
51DC FE00; CJK COMPATIBILITY IDEOGRAPH-F954;
51DE FE00; CJK COMPATIBILITY IDEOGRAPH-FA15;
51F5 FE00; CJK COMPATIBILITY IDEOGRAPH-2F81D;
5203 FE00; CJK COMPATIBILITY IDEOGRAPH-2F81E;
5207 FE00; CJK COMPATIBILITY IDEOGRAPH-FA00;
5207 FE01; CJK COMPATIBILITY IDEOGRAPH-2F850;
5217 FE00; CJK COMPATIBILITY IDEOGRAPH-F99C;
5229 FE00; CJK COMPATIBILITY IDEOGRAPH-F9DD;
523A FE00; CJK COMPATIBILITY IDEOGRAPH-F9FF;
523B FE00; CJK COMPATIBILITY IDEOGRAPH-2F820;
5246 FE00; CJK COMPATIBILITY IDEOGRAPH-2F821;
5272 FE00; CJK COMPATIBILITY IDEOGRAPH-2F822;
5277 FE00; CJK COMPATIBILITY IDEOGRAPH-2F823;
5289 FE00; CJK COMPATIBILITY IDEOGRAPH-F9C7;
529B FE00; CJK COMPATIBILITY IDEOGRAPH-F98A;
52A3 FE00; CJK COMPATIBILITY IDEOGRAPH-F99D;
52B3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F992;
52C7 FE00; CJK COMPATIBILITY IDEOGRAPH-FA76;
52C7 FE01; CJK COMPATIBILITY IDEOGRAPH-2F825;
52C9 FE00; CJK COMPATIBILITY IDEOGRAPH-FA33;
52C9 FE01; CJK COMPATIBILITY IDEOGRAPH-2F826;
52D2 FE00; CJK COMPATIBILITY IDEOGRAPH-F952;
52DE FE00; CJK COMPATIBILITY IDEOGRAPH-F92F;
52E4 FE00; CJK COMPATIBILITY IDEOGRAPH-FA34;
52E4 FE01; CJK COMPATIBILITY IDEOGRAPH-2F827;
52F5 FE00; CJK COMPATIBILITY IDEOGRAPH-F97F;
52FA FE00; CJK COMPATIBILITY IDEOGRAPH-FA77;
52FA FE01; CJK COMPATIBILITY IDEOGRAPH-2F828;
5305 FE00; CJK COMPATIBILITY IDEOGRAPH-2F829;
5306 FE00; CJK COMPATIBILITY IDEOGRAPH-2F82A;
5317 FE00; CJK COMPATIBILITY IDEOGRAPH-F963;
5317 FE01; CJK COMPATIBILITY IDEOGRAPH-2F82B;
533F FE00; CJK COMPATIBILITY IDEOGRAPH-F9EB;
5349 FE00; CJK COMPATIBILITY IDEOGRAPH-2F82C;
5351 FE00; CJK COMPATIBILITY IDEOGRAPH-FA35;
5351 FE01; CJK COMPATIBILITY IDEOGRAPH-2F82D;
535A FE00; CJK COMPATIBILITY IDEOGRAPH-2F82E;
5373 FE00; CJK COMPATIBILITY IDEOGRAPH-2F82F;
5375 FE00; CJK COMPATIBILITY IDEOGRAPH-F91C;
537D FE00; CJK COMPATIBILITY IDEOGRAPH-2F830;
537F FE00; CJK COMPATIBILITY IDEOGRAPH-2F831;
537F FE01; CJK COMPATIBILITY IDEOGRAPH-2F832;
537F FE02; CJK COMPATIBILITY IDEOGRAPH-2F833;
53C3 FE00; CJK COMPATIBILITY IDEOGRAPH-F96B;
53CA FE00; CJK COMPATIBILITY IDEOGRAPH-2F836;
53DF FE00; CJK COMPATIBILITY IDEOGRAPH-2F837;
53E5 FE00; CJK COMPATIBILITY IDEOGRAPH-F906;
53EB FE00; CJK COMPATIBILITY IDEOGRAPH-2F839;
53F1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F83A;
5406 FE00; CJK COMPATIBILITY IDEOGRAPH-2F83B;
540F FE00; CJK COMPATIBILITY IDEOGRAPH-F9DE;
541D FE00; CJK COMPATIBILITY IDEOGRAPH-F9ED;
5438 FE00; CJK COMPATIBILITY IDEOGRAPH-2F83D;
5442 FE00; CJK COMPATIBILITY IDEOGRAPH-F980;
5448 FE00; CJK COMPATIBILITY IDEOGRAPH-2F83E;
5468 FE00; CJK COMPATIBILITY IDEOGRAPH-2F83F;
549E FE00; CJK COMPATIBILITY IDEOGRAPH-2F83C;
54A2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F840;
54BD FE00; CJK COMPATIBILITY IDEOGRAPH-F99E;
54F6 FE00; CJK COMPATIBILITY IDEOGRAPH-2F841;
5510 FE00; CJK COMPATIBILITY IDEOGRAPH-2F842;
5553 FE00; CJK COMPATIBILITY IDEOGRAPH-2F843;
5555 FE00; CJK COMPATIBILITY IDEOGRAPH-FA79;
5563 FE00; CJK COMPATIBILITY IDEOGRAPH-2F844;
5584 FE00; CJK COMPATIBILITY IDEOGRAPH-2F845;
5584 FE01; CJK COMPATIBILITY IDEOGRAPH-2F846;
5587 FE00; CJK COMPATIBILITY IDEOGRAPH-F90B;
5599 FE00; CJK COMPATIBILITY IDEOGRAPH-FA7A;
5599 FE01; CJK COMPATIBILITY IDEOGRAPH-2F847;
559D FE00; CJK COMPATIBILITY IDEOGRAPH-FA36;
559D FE01; CJK COMPATIBILITY IDEOGRAPH-FA78;
55AB FE00; CJK COMPATIBILITY IDEOGRAPH-2F848;
55B3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F849;
55C0 FE00; CJK COMPATIBILITY IDEOGRAPH-FA0D;
55C2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F84A;
55E2 FE00; CJK COMPATIBILITY IDEOGRAPH-FA7B;
5606 FE00; CJK COMPATIBILITY IDEOGRAPH-FA37;
5606 FE01; CJK COMPATIBILITY IDEOGRAPH-2F84C;
5651 FE00; CJK COMPATIBILITY IDEOGRAPH-2F84E;
5668 FE00; CJK COMPATIBILITY IDEOGRAPH-FA38;
5674 FE00; CJK COMPATIBILITY IDEOGRAPH-2F84F;
56F9 FE00; CJK COMPATIBILITY IDEOGRAPH-F9A9;
5716 FE00; CJK COMPATIBILITY IDEOGRAPH-2F84B;
5717 FE00; CJK COMPATIBILITY IDEOGRAPH-2F84D;
578B FE00; CJK COMPATIBILITY IDEOGRAPH-2F855;
57CE FE00; CJK COMPATIBILITY IDEOGRAPH-2F852;
57F4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F853;
580D FE00; CJK COMPATIBILITY IDEOGRAPH-2F854;
5831 FE00; CJK COMPATIBILITY IDEOGRAPH-2F857;
5832 FE00; CJK COMPATIBILITY IDEOGRAPH-2F856;
5840 FE00; CJK COMPATIBILITY IDEOGRAPH-FA39;
585A FE00; CJK COMPATIBILITY IDEOGRAPH-FA10;
585A FE01; CJK COMPATIBILITY IDEOGRAPH-FA7C;
585E FE00; CJK COMPATIBILITY IDEOGRAPH-F96C;
58A8 FE00; CJK COMPATIBILITY IDEOGRAPH-FA3A;
58AC FE00; CJK COMPATIBILITY IDEOGRAPH-2F858;
58B3 FE00; CJK COMPATIBILITY IDEOGRAPH-FA7D;
58D8 FE00; CJK COMPATIBILITY IDEOGRAPH-F94A;
58DF FE00; CJK COMPATIBILITY IDEOGRAPH-F942;
58EE FE00; CJK COMPATIBILITY IDEOGRAPH-2F851;
58F2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F85A;
58F7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F85B;
5906 FE00; CJK COMPATIBILITY IDEOGRAPH-2F85C;
591A FE00; CJK COMPATIBILITY IDEOGRAPH-2F85D;
5922 FE00; CJK COMPATIBILITY IDEOGRAPH-2F85E;
5944 FE00; CJK COMPATIBILITY IDEOGRAPH-FA7E;
5948 FE00; CJK COMPATIBILITY IDEOGRAPH-F90C;
5951 FE00; CJK COMPATIBILITY IDEOGRAPH-F909;
5954 FE00; CJK COMPATIBILITY IDEOGRAPH-FA7F;
5962 FE00; CJK COMPATIBILITY IDEOGRAPH-2F85F;
5973 FE00; CJK COMPATIBILITY IDEOGRAPH-F981;
59D8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F865;
59EC FE00; CJK COMPATIBILITY IDEOGRAPH-2F862;
5A1B FE00; CJK COMPATIBILITY IDEOGRAPH-2F863;
5A27 FE00; CJK COMPATIBILITY IDEOGRAPH-2F864;
5A62 FE00; CJK COMPATIBILITY IDEOGRAPH-FA80;
5A66 FE00; CJK COMPATIBILITY IDEOGRAPH-2F866;
5AB5 FE00; CJK COMPATIBILITY IDEOGRAPH-2F986;
5B08 FE00; CJK COMPATIBILITY IDEOGRAPH-2F869;
5B28 FE00; CJK COMPATIBILITY IDEOGRAPH-FA81;
5B3E FE00; CJK COMPATIBILITY IDEOGRAPH-2F86A;
5B3E FE01; CJK COMPATIBILITY IDEOGRAPH-2F86B;
5B85 FE00; CJK COMPATIBILITY IDEOGRAPH-FA04;
5BC3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F86D;
5BD8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F86E;
5BE7 FE00; CJK COMPATIBILITY IDEOGRAPH-F95F;
5BE7 FE01; CJK COMPATIBILITY IDEOGRAPH-F9AA;
5BE7 FE02; CJK COMPATIBILITY IDEOGRAPH-2F86F;
5BEE FE00; CJK COMPATIBILITY IDEOGRAPH-F9BC;
5BF3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F870;
5BFF FE00; CJK COMPATIBILITY IDEOGRAPH-2F872;
5C06 FE00; CJK COMPATIBILITY IDEOGRAPH-2F873;
5C22 FE00; CJK COMPATIBILITY IDEOGRAPH-2F875;
5C3F FE00; CJK COMPATIBILITY IDEOGRAPH-F9BD;
5C60 FE00; CJK COMPATIBILITY IDEOGRAPH-2F877;
5C62 FE00; CJK COMPATIBILITY IDEOGRAPH-F94B;
5C64 FE00; CJK COMPATIBILITY IDEOGRAPH-FA3B;
5C65 FE00; CJK COMPATIBILITY IDEOGRAPH-F9DF;
5C6E FE00; CJK COMPATIBILITY IDEOGRAPH-FA3C;
5C6E FE01; CJK COMPATIBILITY IDEOGRAPH-2F878;
5C8D FE00; CJK COMPATIBILITY IDEOGRAPH-2F87A;
5CC0 FE00; CJK COMPATIBILITY IDEOGRAPH-2F879;
5D19 FE00; CJK COMPATIBILITY IDEOGRAPH-F9D5;
5D43 FE00; CJK COMPATIBILITY IDEOGRAPH-2F87C;
5D50 FE00; CJK COMPATIBILITY IDEOGRAPH-F921;
5D6B FE00; CJK COMPATIBILITY IDEOGRAPH-2F87F;
5D6E FE00; CJK COMPATIBILITY IDEOGRAPH-2F87E;
5D7C FE00; CJK COMPATIBILITY IDEOGRAPH-2F880;
5DB2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F9F4;
5DBA FE00; CJK COMPATIBILITY IDEOGRAPH-F9AB;
5DE1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F881;
5DE2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F882;
5DFD FE00; CJK COMPATIBILITY IDEOGRAPH-2F884;
5E28 FE00; CJK COMPATIBILITY IDEOGRAPH-2F885;
5E3D FE00; CJK COMPATIBILITY IDEOGRAPH-2F886;
5E69 FE00; CJK COMPATIBILITY IDEOGRAPH-2F887;
5E74 FE00; CJK COMPATIBILITY IDEOGRAPH-F98E;
5EA6 FE00; CJK COMPATIBILITY IDEOGRAPH-FA01;
5EB0 FE00; CJK COMPATIBILITY IDEOGRAPH-2F88B;
5EB3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F88C;
5EB6 FE00; CJK COMPATIBILITY IDEOGRAPH-2F88D;
5EC9 FE00; CJK COMPATIBILITY IDEOGRAPH-F9A2;
5ECA FE00; CJK COMPATIBILITY IDEOGRAPH-F928;
5ECA FE01; CJK COMPATIBILITY IDEOGRAPH-2F88E;
5ED2 FE00; CJK COMPATIBILITY IDEOGRAPH-FA82;
5ED3 FE00; CJK COMPATIBILITY IDEOGRAPH-FA0B;
5ED9 FE00; CJK COMPATIBILITY IDEOGRAPH-FA83;
5EEC FE00; CJK COMPATIBILITY IDEOGRAPH-F982;
5EFE FE00; CJK COMPATIBILITY IDEOGRAPH-2F890;
5F04 FE00; CJK COMPATIBILITY IDEOGRAPH-F943;
5F22 FE00; CJK COMPATIBILITY IDEOGRAPH-2F894;
5F22 FE01; CJK COMPATIBILITY IDEOGRAPH-2F895;
5F53 FE00; CJK COMPATIBILITY IDEOGRAPH-2F874;
5F62 FE00; CJK COMPATIBILITY IDEOGRAPH-2F899;
5F69 FE00; CJK COMPATIBILITY IDEOGRAPH-FA84;
5F6B FE00; CJK COMPATIBILITY IDEOGRAPH-2F89A;
5F8B FE00; CJK COMPATIBILITY IDEOGRAPH-F9D8;
5F9A FE00; CJK COMPATIBILITY IDEOGRAPH-2F89C;
5FA9 FE00; CJK COMPATIBILITY IDEOGRAPH-F966;
5FAD FE00; CJK COMPATIBILITY IDEOGRAPH-FA85;
5FCD FE00; CJK COMPATIBILITY IDEOGRAPH-2F89D;
5FD7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F89E;
5FF5 FE00; CJK COMPATIBILITY IDEOGRAPH-F9A3;
5FF9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F89F;
6012 FE00; CJK COMPATIBILITY IDEOGRAPH-F960;
601C FE00; CJK COMPATIBILITY IDEOGRAPH-F9AC;
6075 FE00; CJK COMPATIBILITY IDEOGRAPH-FA6B;
6081 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8A0;
6094 FE00; CJK COMPATIBILITY IDEOGRAPH-FA3D;
6094 FE01; CJK COMPATIBILITY IDEOGRAPH-2F8A3;
60C7 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8A5;
60D8 FE00; CJK COMPATIBILITY IDEOGRAPH-FA86;
60E1 FE00; CJK COMPATIBILITY IDEOGRAPH-F9B9;
6108 FE00; CJK COMPATIBILITY IDEOGRAPH-FA88;
6144 FE00; CJK COMPATIBILITY IDEOGRAPH-F9D9;
6148 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8A6;
614C FE00; CJK COMPATIBILITY IDEOGRAPH-2F8A7;
614C FE01; CJK COMPATIBILITY IDEOGRAPH-2F8A9;
614E FE00; CJK COMPATIBILITY IDEOGRAPH-FA87;
614E FE01; CJK COMPATIBILITY IDEOGRAPH-2F8A8;
6160 FE00; CJK COMPATIBILITY IDEOGRAPH-FA8A;
6168 FE00; CJK COMPATIBILITY IDEOGRAPH-FA3E;
617A FE00; CJK COMPATIBILITY IDEOGRAPH-2F8AA;
618E FE00; CJK COMPATIBILITY IDEOGRAPH-FA3F;
618E FE01; CJK COMPATIBILITY IDEOGRAPH-FA89;
618E FE02; CJK COMPATIBILITY IDEOGRAPH-2F8AB;
6190 FE00; CJK COMPATIBILITY IDEOGRAPH-F98F;
61A4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8AD;
61AF FE00; CJK COMPATIBILITY IDEOGRAPH-2F8AE;
61B2 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8AC;
61DE FE00; CJK COMPATIBILITY IDEOGRAPH-2F8AF;
61F2 FE00; CJK COMPATIBILITY IDEOGRAPH-FA40;
61F2 FE01; CJK COMPATIBILITY IDEOGRAPH-FA8B;
61F2 FE02; CJK COMPATIBILITY IDEOGRAPH-2F8B0;
61F6 FE00; CJK COMPATIBILITY IDEOGRAPH-F90D;
61F6 FE01; CJK COMPATIBILITY IDEOGRAPH-2F8B1;
6200 FE00; CJK COMPATIBILITY IDEOGRAPH-F990;
6210 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B2;
621B FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B3;
622E FE00; CJK COMPATIBILITY IDEOGRAPH-F9D2;
6234 FE00; CJK COMPATIBILITY IDEOGRAPH-FA8C;
625D FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B4;
62B1 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B5;
62C9 FE00; CJK COMPATIBILITY IDEOGRAPH-F925;
62CF FE00; CJK COMPATIBILITY IDEOGRAPH-F95B;
62D3 FE00; CJK COMPATIBILITY IDEOGRAPH-FA02;
62D4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B6;
62FC FE00; CJK COMPATIBILITY IDEOGRAPH-2F8BA;
62FE FE00; CJK COMPATIBILITY IDEOGRAPH-F973;
633D FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B9;
6350 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8B7;
6368 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8BB;
637B FE00; CJK COMPATIBILITY IDEOGRAPH-F9A4;
6383 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8BC;
63A0 FE00; CJK COMPATIBILITY IDEOGRAPH-F975;
63A9 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C1;
63C4 FE00; CJK COMPATIBILITY IDEOGRAPH-FA8D;
63C5 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C0;
63E4 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8BD;
641C FE00; CJK COMPATIBILITY IDEOGRAPH-FA8E;
6422 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8BF;
6452 FE00; CJK COMPATIBILITY IDEOGRAPH-FA8F;
6469 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C3;
6477 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C6;
647E FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C4;
649A FE00; CJK COMPATIBILITY IDEOGRAPH-F991;
649D FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C5;
64C4 FE00; CJK COMPATIBILITY IDEOGRAPH-F930;
654F FE00; CJK COMPATIBILITY IDEOGRAPH-FA41;
654F FE01; CJK COMPATIBILITY IDEOGRAPH-2F8C8;
6556 FE00; CJK COMPATIBILITY IDEOGRAPH-FA90;
656C FE00; CJK COMPATIBILITY IDEOGRAPH-2F8C9;
6578 FE00; CJK COMPATIBILITY IDEOGRAPH-F969;
6599 FE00; CJK COMPATIBILITY IDEOGRAPH-F9BE;
65C5 FE00; CJK COMPATIBILITY IDEOGRAPH-F983;
65E2 FE00; CJK COMPATIBILITY IDEOGRAPH-FA42;
65E3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8CB;
6613 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E0;
6649 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8CD;
6674 FE00; CJK COMPATIBILITY IDEOGRAPH-FA12;
6674 FE01; CJK COMPATIBILITY IDEOGRAPH-FA91;
6688 FE00; CJK COMPATIBILITY IDEOGRAPH-F9C5;
6691 FE00; CJK COMPATIBILITY IDEOGRAPH-FA43;
6691 FE01; CJK COMPATIBILITY IDEOGRAPH-2F8CF;
669C FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D5;
66B4 FE00; CJK COMPATIBILITY IDEOGRAPH-FA06;
66C6 FE00; CJK COMPATIBILITY IDEOGRAPH-F98B;
66F4 FE00; CJK COMPATIBILITY IDEOGRAPH-F901;
66F8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8CC;
6700 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8D4;
6717 FE00; CJK COMPATIBILITY IDEOGRAPH-F929;
6717 FE01; CJK COMPATIBILITY IDEOGRAPH-FA92;
6717 FE02; CJK COMPATIBILITY IDEOGRAPH-2F8D8;
671B FE00; CJK COMPATIBILITY IDEOGRAPH-FA93;
671B FE01; CJK COMPATIBILITY IDEOGRAPH-2F8D9;
6721 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8DA;
674E FE00; CJK COMPATIBILITY IDEOGRAPH-F9E1;
6753 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8DC;
6756 FE00; CJK COMPATIBILITY IDEOGRAPH-FA94;
675E FE00; CJK COMPATIBILITY IDEOGRAPH-2F8DB;
677B FE00; CJK COMPATIBILITY IDEOGRAPH-F9C8;
6785 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E0;
6797 FE00; CJK COMPATIBILITY IDEOGRAPH-F9F4;
67F3 FE00; CJK COMPATIBILITY IDEOGRAPH-F9C9;
67FA FE00; CJK COMPATIBILITY IDEOGRAPH-2F8DF;
6817 FE00; CJK COMPATIBILITY IDEOGRAPH-F9DA;
681F FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E5;
6852 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E1;
6881 FE00; CJK COMPATIBILITY IDEOGRAPH-F97A;
6885 FE00; CJK COMPATIBILITY IDEOGRAPH-FA44;
6885 FE01; CJK COMPATIBILITY IDEOGRAPH-2F8E2;
688E FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E4;
68A8 FE00; CJK COMPATIBILITY IDEOGRAPH-F9E2;
6914 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E6;
6942 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E8;
69A3 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8E9;
69EA FE00; CJK COMPATIBILITY IDEOGRAPH-2F8EA;
6A02 FE00; CJK COMPATIBILITY IDEOGRAPH-F914;
6A02 FE01; CJK COMPATIBILITY IDEOGRAPH-F95C;
6A02 FE02; CJK COMPATIBILITY IDEOGRAPH-F9BF;
6A13 FE00; CJK COMPATIBILITY IDEOGRAPH-F94C;
6AA8 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8EB;
6AD3 FE00; CJK COMPATIBILITY IDEOGRAPH-F931;
6ADB FE00; CJK COMPATIBILITY IDEOGRAPH-2F8ED;
6B04 FE00; CJK COMPATIBILITY IDEOGRAPH-F91D;
6B21 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8EF;
6B54 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8F1;
6B72 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8F3;
6B77 FE00; CJK COMPATIBILITY IDEOGRAPH-F98C;
6B79 FE00; CJK COMPATIBILITY IDEOGRAPH-FA95;
6B9F FE00; CJK COMPATIBILITY IDEOGRAPH-2F8F4;
6BAE FE00; CJK COMPATIBILITY IDEOGRAPH-F9A5;
6BBA FE00; CJK COMPATIBILITY IDEOGRAPH-F970;
6BBA FE01; CJK COMPATIBILITY IDEOGRAPH-FA96;
6BBA FE02; CJK COMPATIBILITY IDEOGRAPH-2F8F5;
6BBB FE00; CJK COMPATIBILITY IDEOGRAPH-2F8F6;
6C4E FE00; CJK COMPATIBILITY IDEOGRAPH-2F8FA;
6C67 FE00; CJK COMPATIBILITY IDEOGRAPH-2F8FE;
6C88 FE00; CJK COMPATIBILITY IDEOGRAPH-F972;
6CBF FE00; CJK COMPATIBILITY IDEOGRAPH-2F8FC;
6CCC FE00; CJK COMPATIBILITY IDEOGRAPH-F968;
6CCD FE00; CJK COMPATIBILITY IDEOGRAPH-2F8FD;
